path,subject,book,unit,difficulty,single,groups,subquestions,choice_subquestions,single_prefixes,single_numbered,group_numbered,count_note,answer_single,answer_groups,answer_subquestions,answer_single_letters,explanation_markers,total,tables,media_files,drawing_elements,pict_elements,math_elements,consistent,folder_code_differs
example/earth science/book 5/6-1地球的構造與板塊運動/困難/d6-1h-題目卷.docx,earth science,book 5,6-1地球的構造與板塊運動,困難,13,0,0,0,13,13,0,,13,0,0,13,13,13,0,18,6,10,0,True,False
example/earth science/book 5/6-1地球的構造與板塊運動/簡單/d6-1e-題目卷.docx,earth science,book 5,6-1地球的構造與板塊運動,簡單,56,2,7,7,56,56,2,,56,2,7,56,58,63,1,10,7,3,0,True,False
example/earth science/book 5/6-2板塊運動與內營力的影響/中等/d6-2m-題目卷.docx,earth science,book 5,6-2板塊運動與內營力的影響,中等,136,17,55,48,136,136,17,,136,17,55,136,153,191,5,106,50,52,0,True,False
example/earth science/book 5/6-2板塊運動與內營力的影響/困難/d6-2h-題目卷.docx,earth science,book 5,6-2板塊運動與內營力的影響,困難,11,0,0,0,11,11,0,,11,0,0,11,11,11,1,8,4,2,0,True,False
example/earth science/book 5/6-2板塊運動與內營力的影響/簡單/d6-2e-題目卷.docx,earth science,book 5,6-2板塊運動與內營力的影響,簡單,80,3,11,10,80,80,3,,80,3,11,80,81,91,8,40,17,24,0,True,False
example/earth science/book 5/6-3岩層的紀錄/中等/d6-3m-題目卷.docx,earth science,book 5,6-3岩層的紀錄,中等,91,17,55,54,91,91,17,,91,17,55,91,108,146,5,80,40,40,0,True,False
example/earth science/book 5/6-3岩層的紀錄/困難/d6-3h-題目卷.docx,earth science,book 5,6-3岩層的紀錄,困難,9,1,2,2,9,9,1,,9,1,2,9,10,11,1,11,4,7,0,True,False
example/earth science/book 5/6-3岩層的紀錄/簡單/d6-3e-題目卷.docx,earth science,book 5,6-3岩層的紀錄,簡單,43,1,4,2,43,43,1,,43,1,4,43,44,47,1,27,19,9,0,True,False
example/earth science/book 5/7-1宇宙與太陽系/中等/d7-1m-題目卷.docx,earth science,book 5,7-1宇宙與太陽系,中等,102,8,24,19,102,102,8,,102,8,24,102,110,126,10,35,12,11,0,True,False
example/earth science/book 5/7-1宇宙與太陽系/困難/d7-1h-題目卷.docx,earth science,book 5,7-1宇宙與太陽系,困難,14,1,2,2,14,14,1,,14,1,2,14,15,16,0,2,1,1,0,True,False
example/earth science/book 5/7-1宇宙與太陽系/簡單/d7-1e-題目卷.docx,earth science,book 5,7-1宇宙與太陽系,簡單,71,3,8,7,71,71,3,,71,3,8,71,74,79,4,7,4,0,0,True,False
example/earth science/book 5/7-2晝夜與四季/中等/d7-2m-題目卷.docx,earth science,book 5,7-2晝夜與四季,中等,123,12,37,37,123,123,12,,123,12,37,123,135,160,12,94,37,53,0,True,False
example/earth science/book 5/7-2晝夜與四季/困難/d7-2h-題目卷.docx,earth science,book 5,7-2晝夜與四季,困難,17,0,0,0,17,17,0,,17,0,0,17,17,17,1,14,6,3,0,True,False
example/earth science/book 5/7-2晝夜與四季/簡單/d7-2e-題目卷.docx,earth science,book 5,7-2晝夜與四季,簡單,31,1,3,0,31,31,1,,31,1,3,31,32,34,1,5,3,2,0,True,False
example/earth science/book 5/7-3日地月的相對運動/中等/d7-3m-題目卷.docx,earth science,book 5,7-3日地月的相對運動,中等,148,29,96,96,148,148,29,,148,29,96,148,178,244,20,127,65,58,0,True,False
example/earth science/book 5/7-3日地月的相對運動/困難/d7-3h-題目卷.docx,earth science,book 5,7-3日地月的相對運動,困難,20,6,15,12,20,20,6,,20,6,15,20,26,35,3,38,12,23,0,True,False
example/earth science/book 5/7-3日地月的相對運動/簡單/d7-3e-題目卷.docx,earth science,book 5,7-3日地月的相對運動,簡單,31,0,0,0,31,31,0,,31,0,0,31,31,31,0,13,3,10,0,True,False
example/earth science/book 6/3-1地球的大氣/中等/d3-1m-題目卷.docx,earth science,book 6,3-1地球的大氣,中等,87,8,21,21,87,87,8,,87,8,21,87,90,108,2,74,40,24,0,True,False
example/earth science/book 6/3-1地球的大氣/困難/d3-1h-題目卷.docx,earth science,book 6,3-1地球的大氣,困難,7,0,0,0,7,7,0,,7,0,0,7,7,7,0,5,4,0,0,True,False
example/earth science/book 6/3-1地球的大氣/簡單/d3-1e-題目卷.docx,earth science,book 6,3-1地球的大氣,簡單,79,3,9,5,79,79,3,,79,3,9,79,72,88,0,14,10,4,0,True,False
example/earth science/book 6/3-2天氣現象/中等/d3-2m-題目卷.docx,earth science,book 6,3-2天氣現象,中等,149,14,42,42,149,149,14,,149,14,42,149,152,191,2,149,91,49,0,True,False
example/earth science/book 6/3-2天氣現象/困難/d3-2h-題目卷.docx,earth science,book 6,3-2天氣現象,困難,16,2,5,5,16,16,2,,16,2,5,16,17,21,0,20,10,9,0,True,False
example/earth science/book 6/3-2天氣現象/簡單/d3-2e-題目卷.docx,earth science,book 6,3-2天氣現象,簡單,83,2,7,3,83,83,2,,83,2,7,83,76,90,1,30,20,7,0,True,False
example/earth science/book 6/3-3氣團與鋒面/中等/d3-3m-題目卷.docx,earth science,book 6,3-3氣團與鋒面,中等,92,16,45,42,92,92,16,,92,16,45,92,101,137,2,125,85,36,0,True,False
example/earth science/book 6/3-3氣團與鋒面/困難/d3-3h-題目卷.docx,earth science,book 6,3-3氣團與鋒面,困難,12,2,4,4,12,12,2,,12,2,4,12,14,16,1,10,1,8,0,True,False
example/earth science/book 6/3-3氣團與鋒面/簡單/d3-3e-題目卷.docx,earth science,book 6,3-3氣團與鋒面,簡單,46,8,26,22,46,46,8,,46,8,26,46,50,72,0,36,25,8,0,True,False
example/earth science/book 6/3-4台灣的災變天氣/中等/d3-4m-題目卷.docx,earth science,book 6,3-4台灣的災變天氣,中等,96,20,59,57,96,96,20,,96,20,59,96,107,155,0,113,76,25,0,True,False
example/earth science/book 6/3-4台灣的災變天氣/困難/d3-4h-題目卷.docx,earth science,book 6,3-4台灣的災變天氣,困難,9,2,5,5,9,9,2,,9,2,5,9,11,14,0,12,6,3,0,True,False
example/earth science/book 6/3-4台灣的災變天氣/簡單/d3-4e-題目卷.docx,earth science,book 6,3-4台灣的災變天氣,簡單,73,6,18,18,73,73,6,,73,6,18,73,74,91,0,38,20,16,0,True,False
example/earth science/book 6/4-1海洋與大氣的互動/中等/d4-1m-題目卷.docx,earth science,book 6,4-1海洋與大氣的互動,中等,63,8,23,23,63,63,8,,63,8,23,63,63,86,0,36,29,6,0,True,False
example/earth science/book 6/4-1海洋與大氣的互動/困難/d4-1h-題目卷.docx,earth science,book 6,4-1海洋與大氣的互動,困難,3,0,0,0,3,3,0,,3,0,0,3,3,3,0,1,1,0,0,True,False
example/earth science/book 6/4-1海洋與大氣的互動/簡單/d4-1e-題目卷.docx,earth science,book 6,4-1海洋與大氣的互動,簡單,33,5,16,11,33,33,5,,33,5,16,33,37,49,0,23,18,3,0,True,False
example/earth science/book 6/4-2全球變遷/中等/d4-2m-題目卷.docx,earth science,book 6,4-2全球變遷,中等,67,9,29,24,67,67,9,,67,9,29,67,67,96,1,26,18,3,0,True,False
example/earth science/book 6/4-2全球變遷/困難/d4-2h-題目卷.docx,earth science,book 6,4-2全球變遷,困難,4,1,2,2,4,4,1,,4,1,2,4,4,6,0,2,1,1,0,True,False
example/earth science/book 6/4-2全球變遷/簡單/d4-2e-題目卷.docx,earth science,book 6,4-2全球變遷,簡單,60,5,14,14,60,60,5,,60,5,14,60,53,74,0,17,11,6,0,True,False
example/earth science/book 6/4-3人與自然的互動/中等/d4-3m-題目卷.docx,earth science,book 6,4-3人與自然的互動,中等,51,7,14,14,51,51,7,,51,7,14,51,48,65,0,54,25,27,0,True,False
example/earth science/book 6/4-3人與自然的互動/困難/d4-3h-題目卷.docx,earth science,book 6,4-3人與自然的互動,困難,7,0,0,0,7,7,0,,7,0,0,7,7,7,0,10,2,8,0,True,False
example/earth science/book 6/4-3人與自然的互動/簡單/d4-3e-題目卷.docx,earth science,book 6,4-3人與自然的互動,簡單,100,1,3,3,100,100,1,,100,1,3,100,94,103,1,36,24,9,0,True,False
